"filename", "language", "Python", "Markdown", "PostCSS", "pip requirements", "JSON", "YAML", "Shell Script", "Batch", "Docker", "HTML", "JavaScript", "XML", "Ini", "comment", "blank", "total"
"c:\Users\25580\Desktop\handfree\.research\kotaemon\.github\ISSUE_TEMPLATE\bug_report.yml", "YAML", 0, 0, 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 1, 86
"c:\Users\25580\Desktop\handfree\.research\kotaemon\.github\ISSUE_TEMPLATE\config.yml", "YAML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\25580\Desktop\handfree\.research\kotaemon\.github\ISSUE_TEMPLATE\feature_request.yml", "YAML", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 1, 50
"c:\Users\25580\Desktop\handfree\.research\kotaemon\.github\PULL_REQUEST_TEMPLATE.md", "Markdown", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 19
"c:\Users\25580\Desktop\handfree\.research\kotaemon\.github\workflows\auto-bump-and-release.yaml", "YAML", 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 2, 4, 63
"c:\Users\25580\Desktop\handfree\.research\kotaemon\.github\workflows\build-push-docker.yaml", "YAML", 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 10, 14, 107
"c:\Users\25580\Desktop\handfree\.research\kotaemon\.github\workflows\pr-lint.yaml", "YAML", 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 3, 9, 78
"c:\Users\25580\Desktop\handfree\.research\kotaemon\.github\workflows\style-check.yaml", "YAML", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\25580\Desktop\handfree\.research\kotaemon\.github\workflows\unit-test.yaml", "YAML", 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 7, 16, 115
"c:\Users\25580\Desktop\handfree\.research\kotaemon\.pre-commit-config.yaml", "YAML", 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 1, 72
"c:\Users\25580\Desktop\handfree\.research\kotaemon\CODE_OF_CONDUCT.md", "Markdown", 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 129
"c:\Users\25580\Desktop\handfree\.research\kotaemon\CONTRIBUTING.md", "Markdown", 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 116
"c:\Users\25580\Desktop\handfree\.research\kotaemon\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 21, 27, 125
"c:\Users\25580\Desktop\handfree\.research\kotaemon\README.md", "Markdown", 0, 272, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 138, 412
"c:\Users\25580\Desktop\handfree\.research\kotaemon\app.py", "Python", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 27
"c:\Users\25580\Desktop\handfree\.research\kotaemon\docs\about.md", "Markdown", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\25580\Desktop\handfree\.research\kotaemon\docs\development\contributing.md", "Markdown", 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 117
"c:\Users\25580\Desktop\handfree\.research\kotaemon\docs\development\create-a-component.md", "Markdown", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 72
"c:\Users\25580\Desktop\handfree\.research\kotaemon\docs\development\data-components.md", "Markdown", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 35
"c:\Users\25580\Desktop\handfree\.research\kotaemon\docs\development\index.md", "Markdown", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\25580\Desktop\handfree\.research\kotaemon\docs\development\utilities.md", "Markdown", 0, 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 170
"c:\Users\25580\Desktop\handfree\.research\kotaemon\docs\extra\css\code_select.css", "PostCSS", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 6
"c:\Users\25580\Desktop\handfree\.research\kotaemon\docs\index.md", "Markdown", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 49
"c:\Users\25580\Desktop\handfree\.research\kotaemon\docs\integrations\docling.md", "Markdown", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 30
"c:\Users\25580\Desktop\handfree\.research\kotaemon\docs\integrations\paddle_ocr.md", "Markdown", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 44
"c:\Users\25580\Desktop\handfree\.research\kotaemon\docs\local_model.md", "Markdown", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 91
"c:\Users\25580\Desktop\handfree\.research\kotaemon\docs\online_install.md", "Markdown", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\25580\Desktop\handfree\.research\kotaemon\docs\pages\app\customize-flows.md", "Markdown", 0, 169, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 233
"c:\Users\25580\Desktop\handfree\.research\kotaemon\docs\pages\app\ext\user-management.md", "Markdown", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"c:\Users\25580\Desktop\handfree\.research\kotaemon\docs\pages\app\features.md", "Markdown", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
