Date : 2026-08-27 16:44:22
Directory : c:\Users\25580\Desktop\handfree
Total : 434 files,  57720 codes, 5605 comments, 10830 blanks, all 74155 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Python           |        326 |     33,043 |      5,310 |      6,700 |     45,053 |
| JSON             |         12 |     15,800 |          0 |          6 |     15,806 |
| Markdown         |         46 |      5,836 |          2 |      3,549 |      9,387 |
| YAML             |         11 |        681 |         28 |         59 |        768 |
| Shell Script     |          8 |        650 |         80 |        173 |        903 |
| PostCSS          |          5 |        612 |         64 |        102 |        778 |
| JavaScript       |          6 |        374 |         49 |         64 |        487 |
| Batch            |          3 |        368 |         42 |        107 |        517 |
| HTML             |          5 |        135 |          8 |          8 |        151 |
| Ini              |          2 |        101 |          0 |         26 |        127 |
| Docker           |          1 |         77 |         21 |         27 |        125 |
| pip requirements |          2 |         26 |          0 |          1 |         27 |
| XML              |          7 |         17 |          1 |          8 |         26 |
+------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                 | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                    |        434 |     57,720 |      5,605 |     10,830 |     74,155 |
| . (Files)                                                                                                                                            |          2 |        637 |         34 |        111 |        782 |
| .research                                                                                                                                            |        355 |     47,122 |      4,523 |      7,059 |     58,704 |
| .research\kotaemon                                                                                                                                   |        355 |     47,122 |      4,523 |      7,059 |     58,704 |
| .research\kotaemon (Files)                                                                                                                           |         11 |      1,205 |         70 |        334 |      1,609 |
| .research\kotaemon\.github                                                                                                                           |          9 |        464 |         22 |         55 |        541 |
| .research\kotaemon\.github (Files)                                                                                                                   |          1 |         13 |          0 |          6 |         19 |
| .research\kotaemon\.github\ISSUE_TEMPLATE                                                                                                            |          3 |        135 |          0 |          3 |        138 |
| .research\kotaemon\.github\workflows                                                                                                                 |          5 |        316 |         22 |         46 |        384 |
| .research\kotaemon\docs                                                                                                                              |         30 |      1,401 |         22 |        490 |      1,913 |
| .research\kotaemon\docs (Files)                                                                                                                      |          5 |        223 |          0 |        101 |        324 |
| .research\kotaemon\docs\development                                                                                                                  |          5 |        298 |          0 |        102 |        400 |
| .research\kotaemon\docs\extra                                                                                                                        |          1 |          4 |          1 |          1 |          6 |
| .research\kotaemon\docs\extra\css                                                                                                                    |          1 |          4 |          1 |          1 |          6 |
| .research\kotaemon\docs\integrations                                                                                                                 |          2 |         49 |          0 |         25 |         74 |
| .research\kotaemon\docs\pages                                                                                                                        |          7 |        591 |          0 |        211 |        802 |
| .research\kotaemon\docs\pages\app                                                                                                                    |          7 |        591 |          0 |        211 |        802 |
| .research\kotaemon\docs\pages\app (Files)                                                                                                            |          3 |        446 |          0 |        163 |        609 |
| .research\kotaemon\docs\pages\app\ext                                                                                                                |          1 |         11 |          0 |          4 |         15 |
| .research\kotaemon\docs\pages\app\index                                                                                                              |          1 |         88 |          0 |         28 |        116 |
| .research\kotaemon\docs\pages\app\settings                                                                                                           |          2 |         46 |          0 |         16 |         62 |
| .research\kotaemon\docs\scripts                                                                                                                      |          2 |         98 |          9 |         39 |        146 |
| .research\kotaemon\docs\theme                                                                                                                        |          8 |        138 |         12 |         11 |        161 |
| .research\kotaemon\docs\theme (Files)                                                                                                                |          1 |          5 |          0 |          2 |          7 |
| .research\kotaemon\docs\theme\assets                                                                                                                 |          4 |          4 |          4 |          4 |         12 |
| .research\kotaemon\docs\theme\assets\pymdownx-extras                                                                                                 |          4 |          4 |          4 |          4 |         12 |
| .research\kotaemon\docs\theme\partials                                                                                                               |          3 |        129 |          8 |          5 |        142 |
| .research\kotaemon\libs                                                                                                                              |        284 |     42,666 |      4,269 |      5,812 |     52,747 |
| .research\kotaemon\libs\kotaemon                                                                                                                     |        171 |     17,912 |      2,711 |      3,124 |     23,747 |
| .research\kotaemon\libs\kotaemon (Files)                                                                                                             |          2 |         91 |          0 |         49 |        140 |
| .research\kotaemon\libs\kotaemon\kotaemon                                                                                                            |        137 |     10,606 |      2,551 |      2,374 |     15,531 |
| .research\kotaemon\libs\kotaemon\kotaemon (Files)                                                                                                    |          2 |        137 |         38 |         40 |        215 |
| .research\kotaemon\libs\kotaemon\kotaemon\agents                                                                                                     |         20 |      1,566 |        424 |        290 |      2,280 |
| .research\kotaemon\libs\kotaemon\kotaemon\agents (Files)                                                                                             |          4 |        141 |         21 |         33 |        195 |
| .research\kotaemon\libs\kotaemon\kotaemon\agents\io                                                                                                  |          2 |         84 |        140 |         39 |        263 |
| .research\kotaemon\libs\kotaemon\kotaemon\agents\react                                                                                               |          3 |        294 |         65 |         36 |        395 |
| .research\kotaemon\libs\kotaemon\kotaemon\agents\rewoo                                                                                               |          5 |        574 |         77 |         65 |        716 |
| .research\kotaemon\libs\kotaemon\kotaemon\agents\tools                                                                                               |          6 |        473 |        121 |        117 |        711 |
| .research\kotaemon\libs\kotaemon\kotaemon\base                                                                                                       |          3 |        153 |         46 |         56 |        255 |
| .research\kotaemon\libs\kotaemon\kotaemon\chatbot                                                                                                    |          3 |         82 |         18 |         33 |        133 |
| .research\kotaemon\libs\kotaemon\kotaemon\contribs                                                                                                   |         14 |      1,095 |        148 |        201 |      1,444 |
| .research\kotaemon\libs\kotaemon\kotaemon\contribs (Files)                                                                                           |          2 |         43 |         10 |         15 |         68 |
| .research\kotaemon\libs\kotaemon\kotaemon\contribs\promptui                                                                                          |         12 |      1,052 |        138 |        186 |      1,376 |
| .research\kotaemon\libs\kotaemon\kotaemon\contribs\promptui (Files)                                                                                  |          8 |        443 |         65 |         85 |        593 |
