"filename", "language", "Markdown", "Python", "JSON", "comment", "blank", "total"
"c:\Users\25580\Desktop\handfree\data\eval\raw\ragas-20260828-151239.json", "JSON", 0, 0, 124, 0, 0, 124
"c:\Users\25580\Desktop\handfree\data\uploads\default\active\0知识点检索表.md", "Markdown", 600, 0, 0, 0, 63, 663
"c:\Users\25580\Desktop\handfree\data\uploads\default\active\2软件与软件工程.md", "Markdown", 482, 0, 0, 0, 446, 928
"c:\Users\25580\Desktop\handfree\data\uploads\default\active\3软件过程管理.md", "Markdown", 893, 0, 0, 0, 824, 1717
"c:\Users\25580\Desktop\handfree\data\uploads\default\active\4需求分析.md", "Markdown", 601, 0, 0, 0, 548, 1149
"c:\Users\25580\Desktop\handfree\data\uploads\default\active\5软件概要设计.md", "Markdown", 524, 0, 0, 0, 461, 985
"c:\Users\25580\Desktop\handfree\data\uploads\default\active\小学期任务分工.md", "Markdown", 131, 0, 0, 0, 38, 169
"c:\Users\25580\Desktop\handfree\src\memodoc\cli.py", "Python", 0, 8, 0, 0, 1, 9
"c:\Users\25580\Desktop\handfree\src\memodoc\config.py", "Python", 0, 1, 0, 2, 0, 3
"c:\Users\25580\Desktop\handfree\src\memodoc\rag\chunker.py", "Python", 0, 3, 0, 2, 0, 5
"c:\Users\25580\Desktop\handfree\src\memodoc\rag\parser.py", "Python", 0, 10, 0, 7, 1, 18
"c:\Users\25580\Desktop\handfree\src\memodoc\rag\retriever.py", "Python", 0, 27, 0, 2, 1, 30
"c:\Users\25580\Desktop\handfree\tests\eval_papers.py", "Python", 0, 2, 0, 0, 0, 2
"c:\Users\25580\Desktop\handfree\tests\eval_ragas.py", "Python", 0, 3, 0, 0, 0, 3
"c:\Users\25580\Desktop\handfree\tests\eval_softeng.py", "Python", 0, 10, 0, -1, -2, 7
"Total", "-", 3231, 64, 124, 12, 2381, 5812
