"filename", "language", "Markdown", "Python", "TypeScript", "JSON with Comments", "JSON", "TypeScript JSX", "PostCSS", "Batch", "HTML", "comment", "blank", "total"
"c:\Users\25580\Desktop\handfree\README.md", "Markdown", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"c:\Users\25580\Desktop\handfree\api\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\25580\Desktop\handfree\api\auth.py", "Python", 0, 82, 0, 0, 0, 0, 0, 0, 0, 7, 18, 107
"c:\Users\25580\Desktop\handfree\api\server.py", "Python", 0, 221, 0, 0, 0, 0, 0, 0, 0, 18, 62, 301
"c:\Users\25580\Desktop\handfree\api\services.py", "Python", 0, 48, 0, 0, 0, 0, 0, 0, 0, 6, 12, 66
"c:\Users\25580\Desktop\handfree\data\uploads\demo_doc.md", "Markdown", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 95
"c:\Users\25580\Desktop\handfree\docs\DESIGN_SPEC.md", "Markdown", 249, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 301
"c:\Users\25580\Desktop\handfree\docs\PRODUCT_PLAN.md", "Markdown", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 105
"c:\Users\25580\Desktop\handfree\frontend\README.md", "Markdown", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 59
"c:\Users\25580\Desktop\handfree\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 1, 13
"c:\Users\25580\Desktop\handfree\frontend\package-lock.json", "JSON", 0, 0, 0, 0, 2852, 0, 0, 0, 0, 0, 1, 2853
"c:\Users\25580\Desktop\handfree\frontend\package.json", "JSON", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 1, 27
"c:\Users\25580\Desktop\handfree\frontend\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 7, 81
"c:\Users\25580\Desktop\handfree\frontend\src\api.ts", "TypeScript", 0, 0, 138, 0, 0, 0, 0, 0, 0, 8, 15, 161
"c:\Users\25580\Desktop\handfree\frontend\src\components\AdminUsers.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 6, 45
"c:\Users\25580\Desktop\handfree\frontend\src\components\AuthPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 4, 87
"c:\Users\25580\Desktop\handfree\frontend\src\components\ChatPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 95, 0, 0, 0, 1, 9, 105
"c:\Users\25580\Desktop\handfree\frontend\src\components\DocLibrary.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 197, 0, 0, 0, 1, 12, 210
"c:\Users\25580\Desktop\handfree\frontend\src\components\MessageItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 64, 0, 0, 0, 1, 7, 72
"c:\Users\25580\Desktop\handfree\frontend\src\components\Sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 4, 57
"c:\Users\25580\Desktop\handfree\frontend\src\components\SourcesPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 3, 44
"c:\Users\25580\Desktop\handfree\frontend\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 2, 22
"c:\Users\25580\Desktop\handfree\frontend\src\store.ts", "TypeScript", 0, 0, 199, 0, 0, 0, 0, 0, 0, 11, 30, 240
"c:\Users\25580\Desktop\handfree\frontend\src\styles.css", "PostCSS", 0, 0, 0, 0, 0, 0, 431, 0, 0, 11, 67, 509
"c:\Users\25580\Desktop\handfree\frontend\src\types.ts", "TypeScript", 0, 0, 51, 0, 0, 0, 0, 0, 0, 2, 11, 64
"c:\Users\25580\Desktop\handfree\frontend\tsconfig.json", "JSON with Comments", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 1, 20
"c:\Users\25580\Desktop\handfree\frontend\tsconfig.node.json", "JSON", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"c:\Users\25580\Desktop\handfree\frontend\vite.config.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\25580\Desktop\handfree\scripts\test_api.py", "Python", 0, 17, 0, 0, 0, 0, 0, 0, 0, 5, 8, 30
"c:\Users\25580\Desktop\handfree\scripts\test_auth.py", "Python", 0, 51, 0, 0, 0, 0, 0, 0, 0, 11, 17, 79
"c:\Users\25580\Desktop\handfree\scripts\test_auth_tc.py", "Python", 0, 38, 0, 0, 0, 0, 0, 0, 0, 10, 17, 65
"c:\Users\25580\Desktop\handfree\scripts\test_sse.py", "Python", 0, 39, 0, 0, 0, 0, 0, 0, 0, 1, 4, 44
"c:\Users\25580\Desktop\handfree\server.py", "Python", 0, 3, 0, 0, 0, 0, 0, 0, 0, 6, 2, 11
"c:\Users\25580\Desktop\handfree\src\memodoc\rag\chunker.py", "Python", 0, 4, 0, 0, 0, 0, 0, 0, 0, 4, 0, 8
"c:\Users\25580\Desktop\handfree\start.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 1, 6
"Total", "-", 464, 503, 403, 19, 2889, 666, 431, 4, 12, 104, 452, 5947
